date_bedtime,date_wake,broken_sleep_ind,bedtime,wake,nap_ind,rating,duration_mins,duration_hours,bedtime_hour,dist_from_6pm_mins,mins_from_8_hours,day_of_week,work_day
2019-09-27T04:00:00Z,2019-09-28T04:00:00Z,0,2019-09-28T04:22:00Z,2019-09-28T12:33:00Z,0,4.25,491,8.2,0,382,11,Fri,Fri-Sat
2019-09-28T04:00:00Z,2019-09-29T04:00:00Z,0,2019-09-29T03:21:00Z,2019-09-29T12:13:00Z,0,3.5,532,8.9,23,321,52,Sat,Fri-Sat
2019-09-29T04:00:00Z,2019-09-30T04:00:00Z,0,2019-09-30T03:21:00Z,2019-09-30T11:55:00Z,0,3.75,514,8.6,23,321,34,Sun,Worknight
2019-09-30T04:00:00Z,2019-10-01T04:00:00Z,0,2019-10-01T01:44:00Z,2019-10-01T12:16:00Z,0,4.75,632,10.5,21,224,152,Mon,Worknight
2019-10-01T04:00:00Z,2019-10-02T04:00:00Z,0,2019-10-02T02:05:00Z,2019-10-02T12:09:00Z,0,4.5,604,10.1,22,245,124,Tue,Worknight
2019-10-02T04:00:00Z,2019-10-03T04:00:00Z,0,2019-10-03T04:09:00Z,2019-10-03T12:15:00Z,0,3.5,486,8.1,0,369,6,Wed,Worknight
2019-10-03T04:00:00Z,2019-10-04T04:00:00Z,0,2019-10-04T02:50:00Z,2019-10-04T11:18:00Z,0,3.75,508,8.5,22,290,28,Thu,Worknight
2019-10-04T04:00:00Z,2019-10-05T04:00:00Z,0,2019-10-05T03:45:00Z,2019-10-05T13:16:00Z,0,4,571,9.5,23,345,91,Fri,Fri-Sat
2019-10-05T04:00:00Z,2019-10-06T04:00:00Z,0,2019-10-06T07:19:00Z,2019-10-06T14:14:00Z,0,4.5,415,6.9,3,559,-65,Sat,Fri-Sat
2019-10-06T04:00:00Z,2019-10-07T04:00:00Z,0,2019-10-07T04:20:00Z,2019-10-07T12:00:00Z,0,4,460,7.7,0,380,-20,Sun,Worknight
2019-10-07T04:00:00Z,2019-10-08T04:00:00Z,0,2019-10-08T04:23:00Z,2019-10-08T11:35:00Z,0,4.5,432,7.2,0,383,-48,Mon,Worknight
2019-10-08T04:00:00Z,2019-10-09T04:00:00Z,0,2019-10-09T03:21:00Z,2019-10-09T12:52:00Z,0,4.25,571,9.5,23,321,91,Tue,Worknight
2019-10-09T04:00:00Z,2019-10-10T04:00:00Z,0,2019-10-10T04:54:00Z,2019-10-10T11:41:00Z,0,4.25,407,6.8,0,414,-73,Wed,Worknight
2019-10-10T04:00:00Z,2019-10-11T04:00:00Z,0,2019-10-11T03:08:00Z,2019-10-11T12:12:00Z,0,4.5,544,9.1,23,308,64,Thu,Worknight
2019-10-11T04:00:00Z,2019-10-12T04:00:00Z,0,2019-10-12T06:13:00Z,2019-10-12T12:30:00Z,0,3.75,377,6.3,2,493,-103,Fri,Fri-Sat
2019-10-12T04:00:00Z,2019-10-13T04:00:00Z,0,2019-10-13T03:04:00Z,2019-10-13T13:42:00Z,0,4.25,638,10.6,23,304,158,Sat,Fri-Sat
2019-10-13T04:00:00Z,2019-10-14T04:00:00Z,0,2019-10-14T02:35:00Z,2019-10-14T11:05:00Z,0,4.5,510,8.5,22,275,30,Sun,Worknight
2019-10-14T04:00:00Z,2019-10-15T04:00:00Z,0,2019-10-15T02:31:00Z,2019-10-15T11:19:00Z,0,4.25,528,8.8,22,271,48,Mon,Worknight
2019-10-15T04:00:00Z,2019-10-16T04:00:00Z,0,2019-10-16T03:26:00Z,2019-10-16T11:59:00Z,0,0,513,8.6,23,326,33,Tue,Worknight
2019-10-16T04:00:00Z,2019-10-17T04:00:00Z,0,2019-10-17T03:53:00Z,2019-10-17T11:13:00Z,0,3.5,440,7.3,23,353,-40,Wed,Worknight
2019-10-17T04:00:00Z,2019-10-18T04:00:00Z,0,2019-10-18T04:51:00Z,2019-10-18T12:10:00Z,0,4.25,439,7.3,0,411,-41,Thu,Worknight
2019-10-18T04:00:00Z,2019-10-19T04:00:00Z,0,2019-10-19T03:47:00Z,2019-10-19T12:42:00Z,0,4.25,535,8.9,23,347,55,Fri,Fri-Sat
2019-10-19T04:00:00Z,2019-10-20T04:00:00Z,0,2019-10-20T03:49:00Z,2019-10-20T12:47:00Z,0,4.5,538,9,23,349,58,Sat,Fri-Sat
2019-10-20T04:00:00Z,2019-10-21T04:00:00Z,0,2019-10-21T03:40:00Z,2019-10-21T12:24:00Z,0,4.5,524,8.7,23,340,44,Sun,Worknight
2019-10-21T04:00:00Z,2019-10-22T04:00:00Z,0,2019-10-22T03:11:00Z,2019-10-22T11:35:00Z,0,4.25,504,8.4,23,311,24,Mon,Worknight
2019-10-22T04:00:00Z,2019-10-23T04:00:00Z,0,2019-10-23T01:28:00Z,2019-10-23T06:08:00Z,0,1.75,280,4.7,21,208,-200,Tue,Worknight
2019-10-23T04:00:00Z,2019-10-24T04:00:00Z,0,2019-10-24T02:13:00Z,2019-10-24T12:14:00Z,0,4.25,601,10,22,253,121,Wed,Worknight
2019-10-24T04:00:00Z,2019-10-25T04:00:00Z,0,2019-10-25T03:55:00Z,2019-10-25T12:00:00Z,0,4.5,485,8.1,23,355,5,Thu,Worknight
